State,County,ZIP,Target Home Value Range,Estimated Population,Estimated Lead Volume,Priority,Reason,Suggested Lead Pull Criteria
AL,Birmingham Zip Market,35216,$163k-$350k,77.0,77.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36606,$102k-$267k,86.0,86.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36609,$136k-$350k,68.0,68.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35235,$105k-$274k,63.0,63.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Hartselle Zip Market,35640,$148k-$350k,90.0,90.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Pinson Zip Market,35126,$139k-$350k,90.0,90.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Anniston Zip Market,36207,$149k-$350k,65.0,65.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Meridianville Zip Market,35759,$184k-$350k,149.0,149.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Fairhope Zip Market,36532,$341k-$350k,274.0,274.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Chelsea Zip Market,35043,$220k-$350k,88.0,88.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Ozark Zip Market,36360,$111k-$290k,74.0,74.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Helena Zip Market,35080,$223k-$350k,71.0,71.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35211,$75k-$149k,89.0,89.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Madison Zip Market,35757,$223k-$350k,97.0,97.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35802,$198k-$350k,93.0,93.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Phenix City Zip Market,36869,$131k-$342k,37.0,37.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Deatsville Zip Market,36022,$184k-$350k,48.0,48.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Moody Zip Market,35004,$166k-$350k,47.0,47.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Florence Zip Market,35633,$173k-$350k,72.0,72.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35824,$187k-$350k,46.0,46.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36693,$157k-$350k,68.0,68.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Saraland Zip Market,36571,$147k-$350k,53.0,53.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Leeds Zip Market,35094,$173k-$350k,66.0,66.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36619,$147k-$350k,39.0,39.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Pelham Zip Market,35124,$261k-$350k,90.0,90.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Gadsden Zip Market,35904,$75k-$192k,50.0,50.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36618,$107k-$279k,38.0,38.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Wetumpka Zip Market,36093,$210k-$350k,59.0,59.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Gadsden Zip Market,35903,$93k-$243k,49.0,49.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mount Olive Zip Market,35117,$161k-$350k,25.0,25.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Valley Zip Market,36854,$155k-$350k,70.0,70.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Silverhill Zip Market,36576,$165k-$350k,27.0,27.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36106,$131k-$342k,81.0,81.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Fultondale Zip Market,35068,$143k-$350k,22.0,22.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Albertville Zip Market,35950,$173k-$350k,52.0,52.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Killen Zip Market,35645,$194k-$350k,79.0,79.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Alexander City Zip Market,35010,$174k-$350k,122.0,122.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Irvington Zip Market,36544,$156k-$350k,28.0,28.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Arab Zip Market,35016,$157k-$350k,92.0,92.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Tuscaloosa Zip Market,35406,$386k-$350k,103.0,103.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Anniston Zip Market,36206,$100k-$260k,24.0,24.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Muscle Shoals Zip Market,35661,$178k-$350k,101.0,101.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Warrior Zip Market,35180,$157k-$350k,59.0,59.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Pell City Zip Market,35125,$126k-$329k,16.0,16.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Sylacauga Zip Market,35150,$97k-$254k,57.0,57.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35208,$75k-$137k,88.0,88.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Kimberly Zip Market,35091,$154k-$350k,28.0,28.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Opelika Zip Market,36801,$180k-$350k,165.0,165.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Robertsdale Zip Market,36567,$169k-$350k,67.0,67.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Auburn Zip Market,36830,$262k-$350k,321.0,321.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Talladega Zip Market,35160,$144k-$350k,76.0,76.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Hazel Green Zip Market,35750,$169k-$350k,77.0,77.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Trinity Zip Market,35673,$163k-$350k,18.0,18.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Bay Minette Zip Market,36507,$157k-$350k,69.0,69.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montevallo Zip Market,35115,$170k-$350k,59.0,59.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Orange Beach Zip Market,36561,$394k-$350k,694.0,694.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Eight Mile Zip Market,36613,$87k-$226k,18.0,18.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Rainsville Zip Market,35986,$154k-$350k,25.0,25.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Selma Zip Market,36701,$75k-$189k,60.0,60.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Elkmont Zip Market,35620,$169k-$350k,27.0,27.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Town Creek Zip Market,35672,$131k-$342k,13.0,13.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Midland City Zip Market,36350,$139k-$350k,35.0,35.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,New Hope Zip Market,35760,$197k-$350k,18.0,18.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Tallassee Zip Market,36078,$165k-$350k,59.0,59.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35243,$362k-$350k,38.0,38.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Cottondale Zip Market,35453,$138k-$350k,25.0,25.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Loxley Zip Market,36551,$190k-$350k,65.0,65.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Cullman Zip Market,35058,$164k-$350k,57.0,57.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Alabaster Zip Market,35114,$215k-$350k,17.0,17.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Newton Zip Market,36352,$171k-$350k,24.0,24.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Atmore Zip Market,36502,$92k-$240k,35.0,35.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Northport Zip Market,35475,$274k-$350k,94.0,94.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35217,$75k-$115k,43.0,43.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Russellville Zip Market,35654,$130k-$339k,17.0,17.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Florence Zip Market,35634,$262k-$350k,43.0,43.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36603,$108k-$281k,19.0,19.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Somerville Zip Market,35670,$193k-$350k,16.0,16.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Anniston Zip Market,36201,$75k-$130k,38.0,38.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35213,$285k-$350k,19.0,19.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Eufaula Zip Market,36027,$156k-$350k,83.0,83.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Albertville Zip Market,35951,$178k-$350k,37.0,37.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Boaz Zip Market,35956,$152k-$350k,35.0,35.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Roanoke Zip Market,36274,$143k-$350k,28.0,28.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Augustine Zip Market,32092,$263k-$550k,374.0,374.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Jacksonville Zip Market,32218,$168k-$356k,226.0,226.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Green Cove Springs Zip Market,32043,$195k-$411k,244.0,244.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,The Villages Zip Market,32162,$187k-$395k,305.0,305.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Cloud Zip Market,34771,$253k-$535k,348.0,348.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
